County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
Rensselaer,738395,Store,JAC,MACPHAIL PAUL,BEE HOLLOW FARM,8,LINDA WAY,,,CASTLETON ON HUDSO,NY,12033,0,POINT (-73.654741 42.560294)
Erie,738392,Store,A,A&Z 786 ENTERPRISE INC,SUNOCO FOOD MART,727,MAPLE ROAD,,,BUFFALO,NY,14221,1200,POINT (-78.760349 42.991116)
Wayne,738391,Store,JAC,FLOUR CITY PASTA LLC,FLOUR CITY PASTA,3830,WALWORTH MARION RD,,,MARION,NY,14505,0,POINT (-77.197939 43.145922)
Monroe,738390,Store,JAC,AZOGI IBRAHIM,AFRICAN CARIBBEAN CENTR,413,CHILI AVENUE,,,ROCHESTER,NY,14611,0,POINT (-77.647939 43.146343)
Warren,738388,Store,JAC,ADIRONDACK GENERAL STORE INC,ADIRONDACK GENERAL STOR,899,E. SHORE DR,,,ADIRONDACK,NY,12808,5000,POINT (-73.755607 43.764519)
Orange,738387,Store,JAC,KS FOOD MART CORP,KS FOOD MART,2874,ROUTE 94,,,BLOOMING GROVE,NY,10914,2000,POINT (-74.193058 41.407419)
Queens,738386,Store,JAC,HARMAN FOOD MARKET CORP,HARMAN FOOD MARKET,1711,HARMAN STREET,,,RIDGEWOOD,NY,11385,800,POINT (-73.913949 40.70483)
Kings,738374,Store,JAC,ESTEFANIA DELI GROCERY CORP,ESTEFANIA DELI GROCERY,4824,6TH AVENUE,,,BROOKLYN,NY,11220,1000,POINT (-74.007421 40.64443)
Dutchess,738372,Store,JAC,KAVAMAT NOOR INC,FISHKILL MOBIL MART,823,ROUTE 52,,,FISHKILL,NY,12524,1500,POINT (-73.920663 41.526012)
Nassau,738371,Store,JAC,SANKAIDO INC,HANAMARU JAPANESE MART,140,JERCHIO TURNPIKE,,,SYOSSET,NY,11791,0,POINT (-73.511265 40.80999)
Richmond,738370,Store,JAC,7-ELEVEN INC,7 ELEVEN STORE #39436J,15,PAGE AVENUE,,,STATEN ISLAND,NY,10309,3000,POINT (-74.234649 40.524362)
New York,738368,Store,JAC,GRACE 48 INC,GRACE 48 DELI,791,8TH AVENUE,,,NEW YORK,NY,10019,1000,POINT (-73.986903 40.761213)
Westchester,738365,Store,JAC,COCO FARMS OF YONKERS INC,COCO FARMS OF YONKERS,1001,CENTRAL PARK AVE.,,,YONKERS,NY,10704,1700,POINT (-73.85634 40.936259)
Westchester,738363,Store,JAC,PORTABLE CHEF LLC,PORTABLE CHEF,1698,MAIN STREET,,,PEEKSKILL,NY,10566,3500,POINT (-73.907307 41.29369)
Kings,738362,Store,A,A&J GROCERY INC,A&J GROCERY,1910,86TH STREET,,,BROOKLYN,NY,11214,0,POINT (-74.000101 40.605718)
Seneca,738361,Store,JAC,RIEGEL AND BOYD FAMILY FARMS LLC,RIEGEL AND BOYD FAMILY,2444,RT 89,,,SENECA FALLS,NY,13148,1200,POINT (-76.754267 42.906875)
Queens,738354,Store,JAC,CULIRAW INC,CULIRAW,36-46,37TH STREET,,,LONG ISLAND CITY,NY,11101,300,POINT (-73.925941 40.753129)
Delaware,738351,Store,JAC,OUTSIDERS KITCHEN LLC,OUTSIDERS KITCHEN,45278,STATE HIGHWAY 30,,,MARGARETVILLE,NY,12455,1200,POINT (-74.602314 42.178756)
Kings,738350,Store,JAC,M T DELI GROCERY INC,M T DELI GROCERY,245,HOWARD AVENUE,,,BROOKLYN,NY,11233,1100,POINT (-73.919308 40.679433)
Richmond,738349,Store,JAC,REYES DELI MEXICANA INC,REYES DELI MEXICANA,196,PORT RICHMOND AVE,,,STATEN ISLAND,NY,10302,3000,POINT (-74.134523 40.63641)
Kings,738347,Store,JACD,ANTHONYS EASTSIDE LLC,ANTHONYS EASTSIDE,37,BOX STREET,,,BROOKLYN,NY,11222,1000,POINT (-73.954697 40.737359)
Chautauqua,738346,Store,JACH,MEADOWS APPLE FARM LLC,MEADOWS APPLE FARM,10459,PROSPECT ROAD,,,FORESTVILLE,NY,14062,1000,POINT (-79.169382 42.4594)
Oneida,738344,Store,JAC,MARKET 167 LLC,STREET CORNER,167,GENESEE STREET,,,UTICA,NY,13501,2100,POINT (-75.230245 43.101918)
Kings,738335,Store,JAC,NEW LIBERTY FARM INC,NEW LIBERTY FARM,1173,LIBERTY AVE,,,BROOKLYN,NY,11208,1500,POINT (-73.866063 40.678852)
Otsego,738330,Store,JAC,G&T FARM LLC,THE GREEN COW,21,RAILROAD AVE,,,COOPERSTOWN,NY,13326,1000,POINT (-74.932325 42.699242)
Bronx,738329,Store,JAC,YANKEL DELI GROCERY CORP,YANKEL DELI GROCERY,266,EAST 143RD STREET,,,BRONX,NY,10451,0,POINT (-73.924367 40.815183)
Kings,738328,Store,JAC,HIGHLY QUALITY DELI CORP,HIGHLY QUALITY DELI,421,BAINBRIDGE ST,,,BROOKLYN,NY,11233,0,POINT (-73.920031 40.68223)
Bronx,738327,Store,JAC,53 JM DELI GROCERY CORP,53 JM DELI GROCERY,53,WEST 167TH STREET,,,BRONX,NY,10452,0,POINT (-73.925182 40.836298)
Bronx,738325,Store,JAC,BM SEAFOOD INC,BM SEAFOOD,3535,WHITE PLAINS ROAD,,,BRONX,NY,10467,500,POINT (-73.866159 40.878425)
Nassau,738323,Store,JAC,LOTUS VALLEY STREAM GAS CORP,BP,1200,ROCKAWAY AVE,,,VALLEY STREAM,NY,11581,1200,POINT (-73.69099 40.650728)
Suffolk,738322,Store,JACD,GALIL IMPORTING CORP,GALIL FOODS,45,GILPIN AVE,,,HAUPPAUGE,NY,11788,120000,POINT (-73.225322 40.804896)
Kings,738321,Store,JAC,AVE D FOOD LLC,C-TOWN,4209,AVENUE D,,,BROOKLYN,NY,11203,1000,POINT (-73.936396 40.641694)
Bronx,738320,Store,JAC,WATSON DISCOUNT CORP,WATSON DISCOUNT,1565,WATSON AVE,,,BRONX,NY,10472,0,POINT (-73.875729 40.826419)
Bronx,738317,Store,JAC,LUCKY 2 GOURMET DELI INC,LUCKY 2 GOURMET DELI,1007,E 163RD STREET,,,BRONX,NY,10459,0,POINT (-73.89288 40.821011)
Kings,738316,Store,JAC,BROS BEST PRODUCE CORP,BROS BEST PRODUCE,7808,5TH AVENUE,,,BROOKLYN,NY,11209,1400,POINT (-74.023593 40.627115)
Queens,738314,Store,JAC,MONTOYA DELI & GROCERY INC,MONTOYA DELI & GROCERY,96-02,NORTHERN BLVD.,,,CORONA,NY,11368,2500,POINT (-73.872087 40.7569)
Fulton,738313,Store,JAC,WHAT SHARON LIKES INC,WHAT SHARON LIKES,318,HOUSEMAN ST,,,MAYFIELD,NY,12117,800,POINT (-74.175818 43.18985)
Kings,738311,Store,JAC,BAMA FOOD CORP,BRAVO SUPERMARKET,785,GRAND STREET,,,BROOKLYN,NY,11211,0,POINT (-73.941708 40.711851)
